Model,RMSE,MAE,R²,Improvement (%)
Baseline RF,25.32672696176382,12.32315830517231,0.9491508772105639,0.0
XGBoost,17.603928830327252,8.686017579667975,0.9766678212786433,30.492681281303362
LightGBM,16.161251951144965,8.314114862065775,0.9803353560261071,36.18894389494594
